City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
366,Monrovia,LR,78.8,6.3,-10.8,Sunset Inn
370,Olinda,BR,82.4,-8.01,-34.86,Recife Plaza Hotel
372,Las Cruces,US,88.0,32.31,-106.78,SpringHill Suites by Marriott Las Cruces
373,Hasaki,JP,66.2,35.73,140.83,Inubosaki Kanko Hotel
377,Saint-Pierre,RE,69.8,-21.34,55.48,Hôtel Le Soleil Couchant
378,Oranjestad,AW,84.2,12.52,-70.03,Holiday Inn Resort Aruba-Beach Resort & Casino
379,Yenangyaung,MM,83.91,20.47,94.88,Hotel Country
380,Manakara,MG,68.81,-22.13,48.02,La Residence Manakara
385,Praia Da Vitoria,PT,66.2,38.73,-27.07,Hotel Branco I
386,Urucara,BR,77.65,-2.54,-57.76,Pousada Maria Bonita
387,Puerto Leguizamo,CO,71.46,-0.19,-74.78,la casona de juancho
388,Pisco,PE,69.8,-13.7,-76.22,Hostal San Isidro Oficial
391,Lufkin,US,69.8,31.34,-94.73,Courtyard by Marriott Lufkin
399,Katsuura,JP,66.0,35.13,140.3,Katsuura Hotel Mikazuki
406,Cabreuva,BR,73.4,-23.31,-47.13,Hotel Brisa do Japi
407,Bubaque,GW,77.49,11.28,-15.83,Dakosta Island Beach Camp
408,Meadow Lake,US,82.99,34.8,-106.54,JKL Inc. R.V Park and Storage
409,Thinadhoo,MV,84.34,0.53,72.93,Effas
412,Dortyol,TR,66.99,36.86,36.23,Fourway Hotel
413,Wasilla,US,66.2,61.58,-149.44,Alaska's Select Inn Wasilla
416,Narsimhapur,IN,83.59,22.95,79.2,STARiHOTELS Narsinghpur
417,Paithan,IN,89.6,19.48,75.38,Rajdhani Hotel
418,Sarkand,KZ,61.83,45.41,79.92,Гостиница Сарканд
421,Buchanan,LR,78.8,5.88,-10.05,Kamaneahn Hotel Inc
423,Tucuman,AR,68.0,-26.82,-65.22,Dallas Hotel Tucuman
424,Ipatinga,BR,61.75,-19.47,-42.54,Panorama Tower Hotel
425,Kaliua,TZ,64.18,-5.06,31.79,Millennium Complex
426,Cabedelo,BR,77.0,-6.98,-34.83,Union Motel
427,Huilong,CN,66.0,31.81,121.66,Hilton Garden Inn Qidong
429,Alta Floresta,BR,87.8,-9.88,-56.09,Floresta Amazonica Hotel
430,Rawson,AR,61.66,-43.3,-65.1,Hotel Punta León
431,Kaabong,UG,66.69,3.48,34.15,Rock Motel Ltd
433,Benjamin Constant,BR,80.6,-4.38,-70.03,CASA AVALIADA
436,Kalemie,CD,73.15,-5.95,29.19,Mahobilali
438,Diebougou,BF,86.95,10.97,-3.25,Hotel Le Consulat
439,Trinidad,BO,80.6,-14.83,-64.9,Hotel Piesta
441,Villamontes,BO,66.51,-21.25,-63.5,Hotel Raldes
448,Fengrun,CN,60.33,39.83,118.12,Super 8 Tangshan North Railway Station Tangfeng Road
451,Kathu,TH,78.8,7.92,98.33,Patong Resort
452,Ketchikan,US,75.2,55.34,-131.65,Snows Cove Lodge
